"Column0","INTPTLAT","INTPTLON","Children","Elderly","Poverty","Elevation","SeaLevelRise","Precipitation","Diabetes","MentalHealth","Asthma","Disability","HousingQuality","Homeless","LivAlone","prediction","FloodHealthIndex","Cluster"
207,37.754380399999995,-122.4431378,0.06392399999999998,0.14499999999999996,0.16519,86.26889999999997,0,0.004636329999999991,7.836799999999994,30.2676,3.7941,0.077,7.571349999999984,3.1789999999999994,0.54,47.87980950600545,55.8462,"cluster_3"
208,37.72863449999999,-122.3904134,0.149512,0.11399999999999999,0.14659299999999992,105.63999999999996,0,0.0011980699999999882,6.160899999999995,6.470199999999995,3.1948999999999996,0.092,6.5828799999999985,2.1589,0.323,45.49768013154498,36.226299999999995,"cluster_4"
209,37.781520199999996,-122.47535,0.19698960601999999,0.16999965999999997,0.178377643244,217.087,0,0.005250599999999997,4.464199999999996,9.020899999999992,2.4237999999999995,0.11799976399999998,3.9322399999999993,0.3447999999999998,0.378999242,46.267362576005894,34.25299999999999,"cluster_2"
210,37.75756749999999,-122.42340000000002,0.13179101502299997,0.166000014231,0.24577401793599996,203.75399999999996,0,0.006647949999999998,8.199999999999998,14.279999999999998,4.483399999999999,0.100000008039,4.745629999999989,0.4878999999999988,0.184000026616,46.05133565412325,51.9396,"cluster_0"
211,37.7210813,-122.4389824,0.191754033584,0.17400005322799997,0.11896153827900001,147.24399999999994,0,0.00017463399999998814,8,13.810000000000002,3.9497999999999993,0.06400007712349999,4.4052899999999875,0.2605999999999985,0.14300027704499996,41.60606407233658,31.953100000000003,"cluster_2"
212,37.755024799999994,-122.4322159,0.15669619338800003,0.220000204581,0.246548250066,154.284,0,0.0008241159999999991,4.299999999999992,8.279999999999998,2.8093,0.10900009451399997,2.4370399999999903,1.876099999999999,0.27300029670199993,46.274412578903714,41.6064,"cluster_4"
213,37.746509999999994,-122.5033419,0.08983904780549998,0.142000091862,0.17396329570399993,-0.6718130000000144,0.0011001499999999805,0.0002936069999999938,5.939799999999999,21.1124,4.694500000000001,0.07700007093779997,10.416699999999993,4.937399999999999,0.485000245475,44.679936507328556,60.16609999999999,"cluster_3"
214,37.796050799999996,-122.4436467,0.13974172051599998,0.09399981199999997,0.46447407105000005,49.5745,0,0,13.899999999999993,37.03,6.7351,0.11999975999999998,9.918539999999995,3.219499999999999,0.287999424,51.872018923425586,59.533,"cluster_3"
215,37.75665649999999,-122.4407205,0.19580980418999994,0.11199988799999999,0.23418976581000003,99.47489999999999,0,0.03872399999999999,8.050399999999993,14.137899999999993,4.4009,0.06399993599999998,6.003429999999996,1.6284999999999994,0.202999797,45.4064661087688,49.5861,"cluster_0"
216,37.787391,-122.4267855,0.079893,0.124,0.509706,5.816839999999942,0,0.028468,15.998500000000002,61.8836,10.5438,0.238,9.687379999999989,3.219499999999999,0.522,57.64264051218549,81.506,"cluster_1"
217,37.7832245,-122.4323123,0.0894470388057,0.09200002958859994,0.11116003804799995,69.35419999999999,0,0.018951899999999994,13.899999999999993,37.03,6.7351,0.0730000238785,13.565899999999989,2.1589,0.42500008383400006,49.611968247752955,56.18609999999999,"cluster_3"
218,37.79605349999999,-122.4764214,0.164463671072,0.10999977999999998,0.14865470268999997,181.308,0,0.0009214979999999977,3.600399999999993,9.910799999999998,1.9477000000000002,0.03599992799999997,4.83090999999999,2.1589,0.27499945,44.97148565490765,25.233099999999997,"cluster_2"
